grubhub_slug,grubhub_business_hours,ubereats_slug,ubereats_business_hours,is_out_range
snobbychic_bigfamousd_gh,10080,snobbychickenwi_paninigrill9371_ue,10073,Out of Range
nicosital_sicilianpi_gh,5670,nicositalianris_mariothebaker_ue,810,Out of Range
arifsmedit_tlkitche_gh,4620,arifsmediterran_gaters_ue,600,Out of Range
thefrenchf_tlkitche_gh,4620,thefrenchfriesg_gaters_ue,600,Out of Range
bombayseaf_goldstreet_gh,4920,bombayseafoodgr_canteendesidhab_ue,390,Out of Range
indianchickenco_goldstreet_gh,4194,indianchickenco_canteendesidhab_ue,390,Out of Range
breakfastb_omegasalad_gh,10080,breakfastburrit_paninigrill9371_ue,1439,Out of Range
snobbychic_bigfamousd_gh,10080,snobbychickenwi_paninigrill9371_ue,1439,Out of Range
thepancake_greenolive_gh,10080,thepancakesnob_salsplacedeligr_ue,1439,Out of Range
theburgers_miyucatan_gh,7980,theburgerstack_lemontreegourme_ue,1439,Out of Range
smoothiean_paninigril_gh,10080,smoothieanddess_seaportdeli_ue,1439,Out of Range
paulospiz_villagecaf_gh,4830,paulospizza_sicilianpizzabr_ue,1439,Out of Range
heavenschi_chelseapap_gh,10080,heavenschickenw_paninicafe_ue,1439,Out of Range
friedchick_omegasalad_gh,10080,friedchickensav_remedydiner_ue,10073,Out of Range
aldoswrapsspot_paninicafe_gh,10080,aldoswrapsspot_paninicafe_ue,10073,Out of Range
joeschicke_plazamarke_gh,7140,joeschickenandw_wesamdeli_ue,7140,In Range
fiestamexi_citideli_gh,6480,fiestamexicansp_headlinesdiner_ue,4800,Out of Range
primapaninibar_lincolngourmetd_gh,10080,primapaninibar_lincolngourmetd_ue,10073,Out of Range
casadeques_paninigril_gh,10080,casadequesadill_seaportdeli_ue,1439,Out of Range
casadeques_allnitepiz_gh,6480,casadequesadill_eastsidedeli_ue,960,Out of Range
marysomel_miyucatan_gh,7560,marysomeletteba_lemontreegourme_ue,1439,Out of Range
luigispas_allnitepiz_gh,5460,luigispastarist_mrpizzaman_ue,720,Out of Range
highlifepi_chelseafin_gh,5880,highlifepizzas_saranbrothersll_ue,5220,Out of Range
romanspiz_headlinesd_gh,10080,romanspizzaoven_sicilianpizzapa_ue,10073,Out of Range
thesaladgod_lincolngourmetd_gh,10080,thesaladgod_lincolngourmetd_ue,10073,Out of Range
thebagelsa_remedydine_gh,5640,thebagelsavage_1upbistro_ue,5880,Out of Range
desidhababreakf_desideli_gh,10080,desidhababreakf_desideli_ue,10073,Out of Range
freshsailo_gaters_gh,5460,freshsailorseaf_miyucatan_ue,780,Out of Range
thesandwic_greenolive_gh,6720,thesandwichslut_salsplacedeligr_ue,6720,In Range
generalsf_palacerest_gh,7560,generalsfrencht_wesamdeli_ue,6120,Out of Range
insomniabuffalo_daddysdelights_gh,5640,insomniabuffalo_daddysdelights_ue,900,Out of Range
samsscrum_seaportdel_gh,6390,samsscrumptious_albashasubsdear_ue,3840,Out of Range
thedessert_gaters_gh,5460,thedessertdream_miyucatan_ue,780,Out of Range
vegetarian_goldstreet_gh,5700,vegetarianindia_canteendesidhab_ue,3120,Out of Range
